Airline_Name,Airline_ID,Aircraft_Model,Flight_Type,Source_Airport_Name,Source_Airport_Code,Destination_Airport_Name,Destination_Airport_Code,Airport_region_code,Departure Date,Scheduled_Depature,Actual_Depature,Scheduled_Arrival,Actual_Arrival,Arrival_Date,FREQUENCY,Travel_Time,Accuracy,Validity,Completeness,,,,
Qantas,SY808,Airbus A320,International,Powell Municipal Airport,POY,,PYK,US-NA,11/2/2022,1:01 AM,1:20 AM,9:13 AM,10:34 AM,11/2/2022,monthly,9:14,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,B6202,Boeing 787,Domestic,Playa De Oro International Airport,ZLO,Beijing Capital International Airport,PEK,MX-NA,11/8/2022,2:45 AM,3:59 AM,11:43 AM,1:13 PM,11/8/2022,biweekly,9:14,ACCURATE,VALID,COMPLETE,,,,
Emirates,SY808,Airbus A330,Domestic,La Porte Municipal Airport,LPO,,YIH,US-NA,6/7/2022,7:19 AM,8:20 AM,3:42 PM,5:34 PM,6/7/2022,daily,9:14,ACCURATE,VALID,COMPLETE,,,,
Vistara,AA123,Airbus A330,Domestic,Victoria Reservoir Seaplane Base,,Ailuk Airport,AIM,LK-AS,6/14/2022,6:32 AM,8:14 AM,4:06 PM,5:32 PM,6/14/2022,biweekly,9:17,ACCURATE,VALID,COMPLETE,,,,
Vistara,DL456,Boeing 777,INT,Torembi Airport,TCJ,Anderson Regional Airport,AND,,10/26/2022,6:18 AM,9:14 AM,4:18 PM,6:37 PM,10/26/2022,bimonthly,9:22,ACCURATE,VALID,COMPLETE,,,,
Air_France,DL456,Boeing 787,Domestic,Garfield County Regional Airport,RIL,Sege Airport,EGM,US-NA,9/7/2022,10:36 AM,11:38 AM,7:46 PM,9:01 PM,9/7/2022,biweekly,9:23,ACCURATE,VALID,COMPLETE,,,,
Vistara,WN101,Airbus A380,International,Torrington Municipal Airport,TOR,Boca Raton Airport,BCT,US-,2/7/2022,12:05 AM,2:27 AM,10:32 AM,11:51 AM,2/7/2022,monthly,9:23,ACCURATE,VALID,COMPLETE,,,,
Air_France,G4606,Boeing 787,INT,Dubois Municipal Airport,DBS,Sampson County Airport,CTZ,US-NA,9/21/2022,1:04 AM,1:15 AM,8:11 AM,10:44 AM,9/21/2022,weekly,9:28,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,AS303,Airbus A350,International,Brighton Downs Airport,BHT,Silva Bay Seaplane Base,,AU-,8/24/2022,8:07 AM,9:05 AM,4:53 PM,6:33 PM,8/24/2022,monthly,9:28,ACCURATE,VALID,COMPLETE,,,,
Ethihad,HA707,Airbus A380,INT,Tau Airport,TAV,Rouen Airport,URO,AS-OC,11/3/2022,1:23 PM,3:10 PM,11:00 PM,12:42 AM,11/3/2022,daily,9:31,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,AS303,Boeing 747,Domestic,Augustus Downs Airport,AUD,Campo Grande Airport,CGR,AU-OC,7/8/2022,12:44 PM,2:06 PM,10:08 PM,11:40 PM,7/8/2022,weekly,9:34,ACCURATE,VALID,COMPLETE,,,,
Ethihad,UA789,Airbus A320,Domestic,Búðardalur Airport,BQD,Sanderson Field,SHN,,7/29/2022,12:58 PM,2:41 PM,10:16 PM,12:17 AM,7/29/2022,daily,9:35,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,B6202,Boeing 737,International,Guaporé Airport,0,Aribinda Airport,XAR,BR-SA,1/13/2022,1:38 AM,3:35 AM,12:36 PM,1:18 PM,1/13/2022,weekly,9:42,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,UA789,Boeing 747,International,Assab International Airport,ASA,Schwerin Parchim Airport,SZW,,9/7/2022,4:05 AM,5:30 AM,2:17 PM,3:18 PM,9/7/2022,weekly,9:47,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,DL456,Airbus A330,International,Powell River Airport,YPW,Tinboli Airport,TCK,CA-NA,5/5/2022,4:06 AM,5:19 AM,12:19 PM,3:08 PM,5/5/2022,monthly,9:49,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,AS303,Boeing 747,DOM,Bafoussam Airport,BFX,Flugplatz Güttin / Rügen,GTI,CM-AF,7/7/2022,3:34 PM,4:40 PM,11:41 PM,2:30 AM,7/7/2022,biweekly,9:50,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,AA123,Airbus A330,International,Yorke Island Airport,OKR,Thargomindah Airport,XTG,AU-OC,1/31/2022,11:16 AM,1:35 PM,9:39 PM,11:34 PM,1/31/2022,biweekly,9:58,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,F9505,Boeing 737,Domestic,,,Ihosy Airport,IHO,US-NA,2/19/2022,12:51 AM,1:40 AM,10:55 AM,11:38 AM,2/19/2022,daily,9:58,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,HA707,Boeing 737,Domestic,Ourilândia do Norte Airport,OIA,,SVG,BR-SA,4/8/2022,10:59 AM,1:40 PM,9:08 PM,11:44 PM,4/8/2022,daily,10:04,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,HA707,Boeing 747,Domestic,Monterey Peninsula Airport,MRY,Compton Woodley Airport,CPM,US-NA,7/29/2022,1:26 AM,4:03 AM,11:55 AM,2:13 PM,7/29/2022,weekly,10:10,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,G4606,Boeing 737,International,Gerrard Smith International Airport,CYB,Wilhelmshaven-Mariensiel Airport,WVN,KY-NA,4/10/2022,8:16 AM,11:11 AM,8:12 PM,9:22 PM,4/10/2022,biweekly,10:11,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,B6202,Airbus A330,International,Vancouver Harbour Water Aerodrome,CXH,Wyndham Airport,WYN,CA-NA,3/12/2022,1:32 AM,2:52 AM,10:51 AM,1:06 PM,3/12/2022,biweekly,10:14,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,G4606,Airbus A380,Domestic,Escuela Mariscal Sucre Airport,MYC,Kisumu Airport,KIS,,2/4/2022,5:24 AM,7:40 AM,4:11 PM,5:56 PM,2/4/2022,daily,10:16,ACCURATE,VALID,COMPLETE,,,,
Emirates,AS303,Boeing 777,Domestic,Okierabu Airport,,Chengdu Shuangliu International Airport,CTU,JP-AS,5/12/2022,4:46 AM,6:28 AM,2:35 PM,4:48 PM,5/12/2022,daily,10:20,ACCURATE,VALID,COMPLETE,,,,
Ethihad,NK404,Airbus A350,INT,Dehradun Airport,DED,Telluride Regional Airport,TEX,IN-AS,11/28/2022,11:46 AM,1:04 PM,10:24 PM,11:26 PM,11/28/2022,weekly,10:22,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,UA789,Airbus A350,International,Taylor County Airport,MDF,,TJQ,US-NA,6/7/2022,1:49 AM,4:06 AM,11:49 AM,2:30 PM,6/7/2022,biweekly,10:23,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,F9505,Boeing 737,Domestic,Chiquimula Airport,CIQ,El Bolson Airport,EHL,GT-NA,10/5/2022,2:44 AM,3:12 AM,1:37 PM,1:43 PM,10/5/2022,biweekly,10:30,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,AS303,Airbus A320,International,Es Senia Airport,ORN,Puerto La Victoria Airport,PCJ,DZ-AF,9/29/2022,1:57 AM,4:42 AM,2:01 PM,3:14 PM,9/29/2022,bimonthly,10:32,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,B6202,Airbus A350,International,Dhangarhi Airport,DHI,Santa Maria Airport,RIA,NP-AS,9/17/2022,4:31 AM,5:13 AM,3:46 PM,3:49 PM,9/17/2022,bimonthly,10:36,ACCURATE,VALID,COMPLETE,,,,
Qantas,AS303,Boeing 747,Domestic,Hosea Kutako International Airport,WDH,Southend Airport,SEN,,5/12/2022,8:15 AM,8:57 AM,7:14 PM,7:35 PM,5/12/2022,weekly,10:38,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,SY808,Boeing 787,International,Toncontín International Airport,TGU,Kingston Norman Rogers Airport,YGK,HN-,9/7/2022,2:54 AM,4:51 AM,2:06 PM,3:33 PM,9/7/2022,daily,10:41,ACCURATE,VALID,COMPLETE,,,,
Qantas,SY808,Boeing 777,International,,RZA,,UAK,AR-SA,2/6/2022,11:38 AM,12:07 PM,9:51 PM,10:50 PM,2/6/2022,weekly,10:43,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,G4606,Airbus A350,International,Petersburg James A Johnson Airport,PSG,Bingöl Çeltiksuyu Airport,BGG,US-NA,10/11/2022,12:04 AM,1:50 AM,11:45 AM,12:34 PM,10/11/2022,daily,10:44,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,HA707,Airbus A330,International,Bunia Airport,BUX,Gorgan Airport,GBT,CD-AF,8/21/2022,4:53 AM,5:07 AM,2:32 PM,3:55 PM,8/21/2022,monthly,10:47,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,F9505,Boeing 737,International,,KHT,Stuttgart Airport,STR,AF-AS,12/26/2022,7:30 AM,9:51 AM,8:31 PM,8:45 PM,12/26/2022,daily,10:53,ACCURATE,VALID,COMPLETE,,,,
Emirates,UA789,Airbus A350,INT,Wangaratta Airport,WGT,Tununak Airport,TNK,AU-OC,12/18/2022,1:24 AM,4:08 AM,12:17 PM,3:06 PM,12/18/2022,bimonthly,10:57,ACCURATE,VALID,COMPLETE,,,,
Air_France,AA123,Boeing 737,INT,Kauhava Airport,KAU,White Mountain Airport,WMO,FI-,10/5/2022,7:23 AM,9:39 AM,6:00 PM,8:39 PM,10/5/2022,weekly,11:00,ACCURATE,VALID,COMPLETE,,,,
Air_France,DL456,Boeing 737,DOM,Lindi Airport,LDI,,SWF,TZ-AF,2/7/2022,11:22 AM,12:15 PM,9:48 PM,11:16 PM,2/7/2022,weekly,11:00,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,NK404,Airbus A350,International,Midland Airpark,MDD,Sepik Plains Airport,SPV,US-NA,5/20/2022,2:47 AM,4:59 AM,3:57 PM,4:02 PM,5/20/2022,weekly,11:02,ACCURATE,VALID,COMPLETE,,,,
Ethihad,G4606,Boeing 737,Domestic,Fahud Airport,FAU,Scammon Bay Airport,SCM,OM-AS,7/12/2022,4:54 AM,6:52 AM,5:51 PM,5:56 PM,7/12/2022,weekly,11:04,ACCURATE,VALID,COMPLETE,,,,
Vistara,UA789,Boeing 777,International,Teruel Airport,TEV,Pakuba Airfield,PAF,ES-EU,4/18/2022,5:34 AM,7:53 AM,4:34 PM,6:59 PM,4/18/2022,weekly,11:05,ACCURATE,VALID,COMPLETE,,,,
Ethihad,UA789,Airbus A380,Domestic,Calexico International Airport,CXL,,MIZ,US-NA,8/12/2022,9:42 AM,11:48 AM,10:51 PM,10:56 PM,8/12/2022,weekly,11:08,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,G4606,Airbus A320,Domestic,Loikaw Airport,LIW,Sidi Bel Abbes Airport,BFW,MM-AS,4/25/2022,4:39 AM,6:52 AM,3:10 PM,6:01 PM,4/25/2022,daily,11:09,ACCURATE,VALID,COMPLETE,,,,
Qantas,F9505,Airbus A330,Domestic,San Salvador Airport,ZSA,Bishe Kola Air Base,BSM,BS-NA,4/13/2022,3:12 AM,4:32 AM,2:45 PM,3:44 PM,4/13/2022,daily,11:11,ACCURATE,VALID,COMPLETE,,,,
Emirates,AS303,Airbus A320,Domestic,Columbus Air Force Base,CBM,,BUR,US-NA,12/23/2022,8:21 AM,8:31 AM,6:21 PM,7:44 PM,12/23/2022,biweekly,11:12,ACCURATE,VALID,COMPLETE,,,,
Ethihad,WN101,Airbus A350,Domestic,Gyumri Shirak Airport,LWN,Eil Airport,HCM,AM-AS,2/25/2022,11:45 AM,12:54 PM,10:22 PM,12:11 AM,2/25/2022,weekly,11:17,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,B6202,Boeing 777,Domestic,Tenakee Seaplane Base,TKE,Dawson Community Airport,GDV,US-NA,4/26/2022,10:16 AM,11:00 AM,8:05 PM,10:20 PM,4/26/2022,monthly,11:19,ACCURATE,VALID,COMPLETE,,,,
Qantas,UA789,Boeing 777,International,Igiugig Airport,IGG,Bulolo Airport,BUL,,10/9/2022,11:42 AM,12:22 PM,9:59 PM,11:47 PM,10/9/2022,bimonthly,11:24,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,AA123,Boeing 787,International,Millington-Memphis Airport,NQA,Nova Lisboa Airport,NOV,,11/8/2022,5:37 AM,6:08 AM,5:33 PM,5:37 PM,11/8/2022,biweekly,11:29,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,WN101,Airbus A350,Domestic,Arrabury Airport,AAB,Abu Simbel Airport,ABS,AU-OC,5/25/2022,3:08 AM,5:42 AM,3:32 PM,5:12 PM,5/25/2022,weekly,11:29,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,WN101,Boeing 787,International,Jeypore Airport,PYB,Wagny Airport,WGY,IN-AS,7/22/2022,9:46 AM,12:00 PM,11:00 PM,11:31 PM,7/22/2022,biweekly,11:31,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,UA789,Airbus A350,Domestic,Travis Air Force Base,SUU,Chennault International Airport,CWF,,12/15/2022,4:40 AM,6:37 AM,4:24 PM,6:10 PM,12/15/2022,weekly,11:32,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,UA789,Airbus A330,International,Gerald R. Ford International Airport,GRR,,MRO,US-NA,8/22/2022,8:19 AM,11:09 AM,9:15 PM,10:49 PM,8/22/2022,weekly,11:40,ACCURATE,VALID,COMPLETE,,,,
Air_France,F9505,Airbus A380,INT,Achmad Yani Airport,SRG,Iconi Airport,YVA,ID-AS,9/24/2022,4:06 AM,6:21 AM,5:32 PM,6:04 PM,9/24/2022,biweekly,11:42,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,AA123,Boeing 737,Domestic,Nova Lisboa Airport,NOV,Bogashevo Airport,TOF,AO-AF,4/7/2022,11:21 AM,11:31 AM,10:47 PM,11:27 PM,4/7/2022,biweekly,11:56,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,G4606,Boeing 747,Domestic,Pinheiro Airport,PHI,Pangborn Memorial Airport,EAT,BR-SA,10/21/2022,6:21 AM,8:10 AM,5:59 PM,8:08 PM,10/21/2022,biweekly,11:57,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,DL456,Boeing 747,Domestic,Biarritz-Anglet-Bayonne Airport,BIQ,Sayun International Airport,GXF,FR-EU,4/21/2022,12:19 PM,12:50 PM,10:58 PM,12:53 AM,4/21/2022,weekly,12:03,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,UA789,Boeing 777,International,Limbunya Airport,LIB,Kolhapur Airport,KLH,AU-OC,7/27/2022,1:42 AM,2:46 AM,12:45 PM,2:55 PM,7/27/2022,monthly,12:08,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,AS303,Boeing 737,International,Slave Lake Airport,YZH,Wendover Airport,ENV,CA-NA,8/12/2022,4:55 AM,6:36 AM,4:54 PM,6:47 PM,8/12/2022,weekly,12:11,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,B6202,Boeing 787,INT,Rajbiraj Airport,RJB,,VXC,NP-,11/24/2022,3:26 AM,5:45 AM,5:59 PM,6:03 PM,11/24/2022,monthly,12:18,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,B6202,Boeing 747,International,Krasnodar Pashkovsky International Airport,KRR,Gitega Airport,GID,RU-EU,10/18/2022,2:31 AM,3:46 AM,1:35 PM,4:13 PM,10/18/2022,monthly,12:27,ACCURATE,VALID,COMPLETE,,,,
Emirates,AA123,Boeing 747,DOM,Man Airport,MJC,Choibalsan Airport,COQ,CI-AF,4/27/2022,7:04 AM,7:23 AM,5:14 PM,7:52 PM,4/27/2022,monthly,12:29,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,SY808,Airbus A350,INT,American River Airport,RCN,Greater Kankakee Airport,IKK,AU-OC,3/20/2022,3:41 AM,5:16 AM,3:06 PM,5:46 PM,3/20/2022,biweekly,12:30,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AS303,Boeing 737,INT,Philip Billard Municipal Airport,TOP,San Pedro Airport,SPY,US-NA,4/25/2022,9:19 AM,11:40 AM,10:21 PM,12:21 AM,4/25/2022,monthly,12:41,ACCURATE,VALID,COMPLETE,,,,
Emirates,B6202,Boeing 777,Domestic,Robins Air Force Base,WRB,,LPM,US-NA,5/23/2022,12:57 AM,3:30 AM,2:27 PM,4:13 PM,5/23/2022,daily,12:42,ACCURATE,VALID,COMPLETE,,,,
Air_France,WN101,Boeing 777,International,,LGI,,UUA,BS-NA,1/20/2022,6:02 AM,8:56 AM,8:01 PM,9:41 PM,1/20/2022,weekly,12:45,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,B6202,Boeing 737,International,Coari Airport,CIZ,,BYD,BR-SA,4/27/2022,7:33 AM,8:35 AM,8:25 PM,9:21 PM,4/27/2022,biweekly,12:46,ACCURATE,VALID,COMPLETE,,,,
Vistara,G4606,Boeing 787,INT,Kenmore Air Harbor Seaplane Base,LKE,Gympie Airport,GYP,US-NA,6/19/2022,12:36 AM,1:44 AM,2:01 PM,2:35 PM,6/19/2022,daily,12:50,ACCURATE,VALID,COMPLETE,,,,
Vistara,F9505,Boeing 737,INT,San Gabriel Valley Airport,EMT,Hillenbrand Industries Airport,HLB,,12/19/2022,3:51 AM,4:18 AM,4:21 PM,5:12 PM,12/19/2022,bimonthly,12:53,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,UA789,Airbus A380,INT,Huallaga Airport,BLP,Sulaymaniyah International Airport,ISU,PE-SA,7/13/2022,11:10 AM,1:24 PM,11:40 PM,2:18 AM,7/13/2022,weekly,12:53,ACCURATE,VALID,COMPLETE,,,,
Emirates,HA707,Airbus A380,International,Simferopol International Airport,SIP,Coromandel Aerodrome,CMV,UA-EU,7/9/2022,9:29 AM,10:28 AM,10:23 PM,11:26 PM,7/9/2022,bimonthly,12:57,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,UA789,Airbus A320,INT,Diyawanna Oya Seaplane Base,DWO,,DKK,LK-AS,2/19/2022,7:25 AM,10:16 AM,9:53 PM,11:13 PM,2/19/2022,biweekly,12:57,ACCURATE,VALID,COMPLETE,,,,
Air_France,G4606,Boeing 737,INT,Sines Airport,SIE,Badu Island Airport,BDD,PT-EU,9/26/2022,10:03 AM,10:12 AM,11:10 PM,11:17 PM,9/26/2022,bimonthly,13:04,ACCURATE,VALID,COMPLETE,,,,
Ethihad,SY808,Boeing 747,Domestic,Long Bawan Airport,LBW,Albany Airport,ALH,ID-AS,2/27/2022,5:57 AM,8:38 AM,8:56 PM,9:47 PM,2/27/2022,biweekly,13:08,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,SY808,Boeing 737,INT,Barth Airport,BBH,Pickens County Airport,LQK,DE-EU,8/26/2022,5:18 AM,5:51 AM,5:32 PM,7:01 PM,8/26/2022,biweekly,13:10,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,AS303,Airbus A380,International,Caledonia County Airport,LLX,Copernicus Wrocław Airport,WRO,US-NA,4/1/2022,4:04 AM,5:45 AM,5:07 PM,7:00 PM,4/1/2022,monthly,13:14,ACCURATE,VALID,COMPLETE,,,,
Emirates,DL456,Airbus A330,DOM,Kopiago Airport,KPA,Hokitika Airfield,HKK,PG-OC,4/28/2022,10:51 AM,11:47 AM,10:10 PM,1:05 AM,4/28/2022,monthly,13:17,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,HA707,Boeing 787,Domestic,General Francisco Bermúdez Airport,CUP,Andorra la Vella Heliport,ALV,VE-SA,6/16/2022,12:28 AM,1:28 AM,1:52 PM,2:48 PM,6/16/2022,daily,13:19,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,HA707,Airbus A330,Domestic,San Blas Airport,NBL,Valesdir Airport,VLS,PA-NA,2/28/2022,8:24 AM,9:33 AM,8:55 PM,10:59 PM,2/28/2022,weekly,13:25,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,SY808,Boeing 777,Domestic,Jiuhuashan Airport,JUH,,RCE,,2/3/2022,1:37 AM,2:32 AM,2:32 PM,4:00 PM,2/3/2022,daily,13:28,ACCURATE,VALID,COMPLETE,,,,
Emirates,NK404,Boeing 787,INT,Illizi Takhamalt Airport,VVZ,Wayne County Airport,BJJ,DZ-AF,11/27/2022,7:41 AM,9:00 AM,9:02 PM,10:30 PM,11/27/2022,weekly,13:30,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AA123,Boeing 777,International,Lumbala Airport,GGC,Yichun Mingyueshan Airport,YIC,AO-AF,4/6/2022,6:56 AM,9:25 AM,10:14 PM,11:07 PM,4/6/2022,weekly,13:41,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,UA789,Airbus A330,International,Morehead Airport,MHY,Casper-Natrona County International Airport,CPR,PG-OC,6/15/2022,6:50 AM,9:28 AM,9:17 PM,11:12 PM,6/15/2022,weekly,13:43,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,AS303,Airbus A320,Domestic,Niamtougou International Airport,LRL,San Joaquín Airport,SJB,TG-,11/22/2022,5:22 AM,6:07 AM,6:09 PM,7:51 PM,11/22/2022,bimonthly,13:44,ACCURATE,VALID,COMPLETE,,,,
Ethihad,UA789,Airbus A320,International,Lonorore Airport,LNE,Paraburdoo Airport,PBO,VU-OC,5/17/2022,10:27 AM,10:30 AM,10:58 PM,12:19 AM,5/17/2022,biweekly,13:49,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,SY808,Airbus A350,International,Kagi Airport,KGW,Owen Roberts International Airport,GCM,PG-OC,5/8/2022,10:27 AM,10:44 AM,9:40 PM,12:34 AM,5/8/2022,daily,13:50,ACCURATE,VALID,COMPLETE,,,,
Ethihad,AA123,Boeing 777,Domestic,Orūzgān Airport,URZ,Van Nuys Airport,VNY,AF-AS,6/28/2022,6:53 AM,7:58 AM,7:35 PM,9:51 PM,6/28/2022,weekly,13:52,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,UA789,Boeing 747,DOM,Northern Peninsula Airport,ABM,Satu Mare Airport,SUJ,AU-OC,7/5/2022,2:44 AM,3:00 AM,3:17 PM,4:53 PM,7/5/2022,weekly,13:52,ACCURATE,VALID,COMPLETE,,,,
Vistara,F9505,Boeing 787,Domestic,Minvoul Airport,MVX,Hongyuan Airport,AHJ,GA-AF,4/24/2022,8:07 AM,10:08 AM,11:19 PM,12:01 AM,4/24/2022,bimonthly,13:53,ACCURATE,VALID,COMPLETE,,,,
Qantas,SY808,Airbus A350,DOM,Pécs-Pogány Airport,PEV,Pasighat Airport,IXT,HU-EU,12/23/2022,5:34 AM,6:22 AM,6:10 PM,8:20 PM,12/23/2022,daily,13:58,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,HA707,Airbus A350,International,Rundu Airport,NDU,,MCG,,5/11/2022,12:20 AM,2:10 AM,3:17 PM,4:13 PM,5/11/2022,biweekly,14:03,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,SY808,Airbus A350,International,Gurayat Domestic Airport,URY,Velásquez Airport,PYA,SA-AS,12/23/2022,9:58 AM,10:02 AM,10:51 PM,12:09 AM,12/23/2022,monthly,14:06,ACCURATE,VALID,COMPLETE,,,,
Air_France,SY808,Airbus A320,International,Kalmar Airport,KLR,Mariposa Yosemite Airport,RMY,,11/22/2022,2:06 AM,3:51 AM,4:16 PM,5:58 PM,11/22/2022,monthly,14:06,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AS303,Airbus A330,International,Ama Airport,AMF,Ruse Airport,ROU,PG-,8/11/2022,1:53 AM,2:06 AM,2:57 PM,4:21 PM,8/11/2022,monthly,14:15,ACCURATE,VALID,COMPLETE,,,,
Qantas,B6202,Airbus A320,International,Uroubi Airport,URU,,DWB,PG-OC,3/27/2022,3:18 AM,4:31 AM,4:43 PM,6:50 PM,3/27/2022,monthly,14:19,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,G4606,Airbus A350,International,Alto Palena Airport,WAP,Baibara Airport,BAP,,8/12/2022,5:34 AM,5:54 AM,7:45 PM,8:14 PM,8/12/2022,monthly,14:19,ACCURATE,VALID,COMPLETE,,,,
Air_France,B6202,Boeing 747,INT,Kooddoo Airport,GKK,Limpopo Valley Airport,TLD,MV-AS,1/15/2022,3:56 AM,5:18 AM,5:03 PM,7:39 PM,1/15/2022,biweekly,14:20,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,DL456,Airbus A330,Domestic,Tinboli Airport,,Wings Field,BBX,PG-OC,10/8/2022,2:46 AM,5:19 AM,5:29 PM,7:40 PM,10/8/2022,biweekly,14:21,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,SY808,Boeing 787,International,"Harstad/Narvik Airport, Evenes",EVE,Havre St Pierre Airport,YGV,NO-EU,4/28/2022,3:20 AM,3:45 AM,4:13 PM,6:12 PM,4/28/2022,biweekly,14:26,ACCURATE,VALID,COMPLETE,,,,
Qantas,SY808,Airbus A320,DOM,Cat Bi International Airport,HPH,Modesto City Co-Harry Sham Field,MOD,VN-AS,4/4/2022,3:36 AM,6:34 AM,8:01 PM,9:08 PM,4/4/2022,biweekly,14:34,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,SY808,Airbus A380,International,Simmons Army Air Field,FBG,Luxor International Airport,LXR,,6/12/2022,10:30 AM,11:26 AM,11:13 PM,2:02 AM,6/12/2022,weekly,14:36,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,NK404,Airbus A320,International,Sara Airport,SSR,Sunriver Airport,SUO,VU-OC,6/23/2022,5:55 AM,6:44 AM,7:10 PM,9:21 PM,6/23/2022,weekly,14:37,ACCURATE,VALID,COMPLETE,,,,
Emirates,G4606,Airbus A320,International,Agartala Airport,IXA,Buka Airport,BUA,,10/18/2022,10:41 AM,11:40 AM,11:42 PM,2:20 AM,10/18/2022,monthly,14:40,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,G4606,Airbus A330,Domestic,Tainan Airport,TNN,São Miguel do Araguaia Airport,SQM,TW-AS,11/27/2022,8:15 AM,8:37 AM,8:53 PM,11:22 PM,11/27/2022,weekly,14:44,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,HA707,Airbus A320,Domestic,,DSM,Benbecula Airport,BEB,US-NA,6/25/2022,6:00 AM,8:27 AM,8:37 PM,11:11 PM,6/25/2022,biweekly,14:44,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,UA789,Boeing 737,INT,Namangan Airport,NMA,Aumo Airport,AUV,UZ-AS,2/21/2022,3:46 AM,6:08 AM,8:28 PM,8:58 PM,2/21/2022,weekly,14:49,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,G4606,Airbus A380,International,,MWQ,Monte Alegre Airport,MTE,MM-AS,7/31/2022,7:44 AM,8:56 AM,11:51 PM,11:52 PM,7/31/2022,bimonthly,14:56,ACCURATE,VALID,COMPLETE,,,,
Air_France,SY808,Airbus A350,INT,Aggeneys Airport,AGZ,Wolter Monginsidi Airport,KDI,ZA-AF,12/17/2022,3:34 AM,4:25 AM,5:33 PM,7:24 PM,12/17/2022,monthly,14:58,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,G4606,Boeing 777,International,Lismore Airport,LSY,,,AU-OC,7/20/2022,12:22 AM,2:28 AM,2:44 PM,5:26 PM,7/20/2022,weekly,14:58,ACCURATE,VALID,COMPLETE,,,,
